main_multum_drug_code,active_ingredient_code,ingredient_strength_code
1080,4633,6269
1081,4306,5838
1082,4550,5753
1083,4746,5976
1084,4746,6289
1085,4746,6295
1086,4634,6243
1087,4551,5824
1088,4551,5824
1089,4635,5925
1090,4307,6001
1091,4307,6954
1092,4551,5752
1093,4551,5752
1094,4636,6291
1095,4308,5976
1096,4308,6712
1097,4309,6249
1098,4637,5923
1099,4637,6249
1100,4748,6378
1101,4637,6608
1102,4637,6981
1103,4310,6494
1104,4310,6152
1105,4638,5976
1106,4310,6488
1107,4749,6378
1108,4310,6749
1109,4638,6377
1110,4638,6749
1111,4310,6001
1112,4638,6954
1113,4638,6001
1115,4638,6162
1116,4687,6134
1117,4314,6242
1119,4315,5925
1120,4315,6250
1121,4315,5978
1123,4639,5976
1124,4639,6289
1125,4639,6749
1126,4639,6001
1127,4639,6162
1128,4318,6101
1128,5472,6101
1130,4639,6250
1131,4321,6284
1133,4321,6743
1135,4750,6715
1137,4750,6270
1139,4750,6268
1141,4750,5923
1142,4750,6267
1143,4750,6712
1144,4750,5976
1145,4322,5714
1146,4641,6755
1147,4642,6749
1148,4553,6982
1149,4642,6001
1150,4751,5734
1151,4642,6001
1152,4553,6185
1153,4642,6001
1154,4751,5752
1155,4751,5752
1156,4751,5734
1157,4751,5752
1158,4642,6306
1159,4751,6602
1161,4642,6001
1162,4643,6749
1163,4752,6152
1164,4554,5978
1165,4752,6488
1166,4643,6001
1167,4554,6361
1169,4643,6380
1170,4753,6749
1171,4753,6001
1172,4554,6609
1174,4754,5741
1175,4645,6267
1176,4645,6712
1177,4183,6071
1178,4645,5976
1179,4755,6100
1180,4646,6268
1183,4756,5755
1184,4552,5774
1185,4756,5752
1186,4756,5714
1187,4554,5774
1188,4646,6268
1188,4722,5756
1189,4757,6289
1190,4554,5752
1191,4757,6640
1192,4185,5863
1193,4758,6749
1194,4758,6001
1195,4647,5866
1196,4647,5916
1197,4759,6715
1198,4759,5923
1200,4185,6001
1200,5446,6001
1202,4552,5829
1203,4552,5870
1204,4185,6306
1204,5446,6306
1205,4763,5967
1206,4763,5967
1207,4763,6283
1208,4552,5876
1209,4552,5896
1210,4552,5923
1211,4648,6005
1213,4648,6196
1214,4764,6361
1215,4186,6001
1216,4648,6390
1219,4648,6306
1220,4552,5925
1221,4186,6162
1222,4648,6651
1223,4186,6377
1224,4766,5976
1225,4766,6289
1226,4186,6749
1227,4552,5948
1228,4552,6249
1230,4552,6608
1231,4768,6754
1233,4768,6001
1234,4552,6834
1236,4187,6100
1238,4187,6389
1239,4187,6389
1241,4187,6763
1242,4769,5978
1244,4769,5978
1245,4187,6751
1246,4769,6643
1248,4769,6289
1249,4769,6640
1250,4187,6391
1251,4769,7001
1253,4119,6763
1253,4311,6749
1253,4318,6640
1254,4187,6102
1255,4770,6001
1257,4770,6504
1258,4770,6651
1261,4649,5790
1262,4649,5825
1263,4773,6417
1264,4650,5915
1266,4651,6307
1267,4776,6763
1269,4775,6389
1271,4449,6508
1271,5476,5907
1272,4449,6697
1272,5476,5907
1273,4652,6163
1274,4778,6867
1275,4653,5978
1276,4187,6102
1276,4463,6523
1278,4450,6389
1279,4450,6763
1280,4779,5978
1281,4187,6391
1281,4463,6881
1282,4779,6641
1283,4187,6389
1283,4463,6100
1284,4187,6763
1284,4463,6100
1285,4187,6100
1285,4463,6522
1286,4452,6389
1287,4452,6763
1288,4452,6960
1289,4187,6389
1289,4463,6879
1290,4452,5978
1291,4452,6655
1292,4657,5936
1293,4656,5976
1294,4656,6267
1295,4656,6712
1296,4452,6309
1297,4656,6289
1298,4190,6749
1299,4779,6644
1299,5476,5907
1300,4779,6864
1300,5476,5907
1301,4656,5976
1301,4834,6377
1302,4779,6937
1302,5476,5907
1303,4779,7006
1303,5476,5907
1304,4779,6010
1304,5476,5907
1305,4779,6858
1305,5476,5907
1306,4779,7003
1306,5476,5907
1307,4779,7042
1307,5476,5907
1308,4452,5834
1309,4779,6004
1309,5476,5907
1310,4658,6306
1311,4658,6651
1312,4190,6434
1313,4190,6435
1314,4453,5976
1315,4453,6289
1316,4659,6002
1317,4779,5833
1318,4779,5834
1319,4779,5773
1320,4779,5773
1321,4660,6840
1321,4805,6009
1322,4456,5925
1323,17720,6389
1324,17720,6763
1325,4456,5976
1326,17720,6102
1327,17720,6391
1328,4661,6751
1329,4456,6749
1330,4195,5912
1331,4195,6241
1332,4195,5965
1333,4779,5833
1333,5348,5880
1334,4779,5834
1334,5348,5916
1335,4195,6100
1336,4783,6712
1337,4783,6712
1338,4783,5976
1339,4783,5976
1340,4195,6389
1341,4195,6763
1342,4660,6840
1342,4858,6270
1342,5563,6533
1343,4661,6377
1343,4857,5976
1343,5563,6116
1344,4461,5925
1345,4195,5912
1345,5520,5863
1346,4195,6241
1346,5520,5912
1347,4195,5965
1347,5520,6702
1348,4784,6704
1349,4784,5967
