Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
2,87.5,-2.846123683,15.535368293,0.1083127212,13.229462172,13.450373621,13.820300489,14.537719329,15.535368293,16.861286158,17.785204382,18.53614768,19.918669774,21.067855109
2,88.5,-2.819657704,15.564444257,0.1093083637,13.234579579,13.45764018,13.83123858,14.556027866,15.564444257,16.905532539,17.840554704,18.600821494,20.001155979,21.16573466
2,89.5,-2.793374145,15.594393802,0.1103025629,13.240370519,13.46560044,13.842903932,14.575127278,15.594393802,16.950745147,17.896918975,18.666534846,20.08469037,21.2646234
2,90.5,-2.767310047,15.625198798,0.111294537,13.246834051,13.47425174,13.855291029,14.595006635,15.625198798,16.996897049,17.95426475,18.733251243,20.169230159,21.364474598
2,91.5,-2.741498897,15.656841259,0.1122835261,13.253969024,13.483591251,13.868394255,14.615655019,15.656841259,17.04396158,18.01255992,18.800934582,20.254733074,21.46524221
2,92.5,-2.715970894,15.689303334,0.113268793,13.261774085,13.493615981,13.882207895,14.637061525,15.689303334,17.091912333,18.071772705,18.869549152,20.341157368,21.56688088
2,93.5,-2.690753197,15.722567299,0.1142496222,13.270247686,13.504322782,13.896726137,14.659215255,15.722567299,17.140723155,18.131871655,18.93905963,20.428461818,21.669345954
2,94.5,-2.665870146,15.756615553,0.1152253207,13.279388083,13.515708349,13.911943075,14.682105318,15.756615553,17.190368141,18.192825645,19.00943108,20.516605734,21.77259347
2,95.5,-2.641343436,15.791430622,0.1161952181,13.289193339,13.527769222,13.927852702,14.705720826,15.791430622,17.240821639,18.254603884,19.080628967,20.605548956,21.87658015
2,96.5,-2.617192204,15.826995169,0.1171586674,13.2996613,13.540501762,13.9444489,14.730050895,15.826995169,17.292058281,18.317175943,19.152619179,20.695251857,21.981263357
2,97.5,-2.593430614,15.863292407,0.1181150731,13.310789044,13.553901719,13.96172519,14.755084709,15.863292407,17.344053641,18.380512412,19.225368543,20.785675251,22.086600078
2,98.5,-2.570076037,15.900304841,0.1190638073,13.322574558,13.567965559,13.979675493,14.780811321,15.900304841,17.396782223,18.444582911,19.298843262,20.876780679,22.192549986
2,99.5,-2.547141473,15.938015446,0.1200042898,13.335015119,13.582689175,13.998293384,14.807219814,15.938015446,17.450219363,18.509357979,19.373010404,20.968530139,22.29907253
2,100.5,-2.524635245,15.976407871,0.1209359936,13.348107261,13.598067882,14.017572122,14.83429943,15.976407871,17.504341492,18.574809309,19.447838088,21.060886065,22.406126596
2,101.5,-2.502569666,16.015464834,0.1218583548,13.361848425,13.614097684,14.037505301,14.86203913,16.015464834,17.55912371,18.640907397,19.523293637,21.153811648,22.513674066
2,102.5,-2.48095189,16.055169844,0.1227708703,13.376235158,13.630773884,14.058086134,14.890428045,16.055169844,17.614542394,18.70762408,19.599345573,21.247270492,22.621675973
2,103.5,-2.459785573,16.09550688,0.1236730846,13.391263286,13.648091204,14.079307468,14.919455334,16.09550688,17.670574776,18.774932139,19.675963312,21.341226663,22.730093079
2,104.5,-2.439080117,16.136458809,0.1245644841,13.406930074,13.666045501,14.101162802,14.949109957,16.136458809,17.727196375,18.842802758,19.75311515,21.435645054,22.838889796
2,105.5,-2.418838304,16.178009551,0.125444639,13.423231342,13.684631476,14.123644944,14.979381008,16.178009551,17.784384485,18.911208974,19.830770998,21.530490897,22.94802887
2,106.5,-2.399063683,16.220142813,0.1263131206,13.440163147,13.703844013,14.146746795,15.010257517,16.220142813,17.842116135,18.980123661,19.908900787,21.625730052,23.057474482
2,107.5,-2.379756861,16.262842771,0.1271695453,13.457720878,13.723677453,14.170460924,15.041728556,16.262842771,17.900369199,19.049520628,19.987475333,21.721328849,23.167190567
2,108.5,-2.360920527,16.306093162,0.1280135154,13.475900463,13.744126561,14.194780131,15.073783099,16.306093162,17.959120924,19.119373164,20.066465192,21.817254297,23.277143044
2,109.5,-2.342557728,16.349877586,0.1288446388,13.494697965,13.765186202,14.21969726,15.10641007,16.349877586,18.018348425,19.189654528,20.145841044,21.913474016,23.38729906
2,110.5,-2.324663326,16.39418118,0.1296626372,13.51410735,13.78684956,14.245204152,15.139598587,16.39418118,18.078031381,19.260340621,20.225575811,22.00995586,23.497622894
2,111.5,-2.307240716,16.438987413,0.1304671382,13.534124762,13.809111546,14.271293647,15.173337489,16.438987413,18.13814687,19.331404869,20.305640609,22.106668641,23.608083807
2,112.5,-2.290287663,16.484280823,0.1312578524,13.554744872,13.83196589,14.297957871,15.207615739,16.484280823,18.198673786,19.402822598,20.386008206,22.203581509,23.718649328
2,113.5,-2.273803847,16.530045538,0.1320344789,13.575962802,13.855406666,14.325189131,15.242422189,16.530045538,18.259590465,19.474568694,20.466651174,22.300664287,23.829288837
2,114.5,-2.257782149,16.57626713,0.132796819,13.59777181,13.879426466,14.35297886,15.277745907,16.57626713,18.320877637,19.546620507,20.547544196,22.397887094,23.939969204
2,115.5,-2.242227723,16.62292864,0.1335445247,13.620168486,13.904020526,14.381320038,15.313575565,16.62292864,18.382512016,19.618951499,20.628658996,22.495221076,24.050664182
2,116.5,-2.227132805,16.670015716,0.1342774356,13.643145665,13.92918106,14.410203797,15.349900084,16.670015716,18.444474723,19.691539649,20.709971078,22.592637546,24.161342137
2,117.5,-2.212495585,16.717512877,0.1349953236,13.66669786,13.954901632,14.439622092,15.386708276,16.717512877,18.50674506,19.764361199,20.791454688,22.690108545,24.271975057
2,118.5,-2.19831275,16.765404961,0.1356979956,13.690819049,13.981175358,14.469566585,15.423988935,16.765404961,18.56930296,19.837393135,20.873084823,22.787606652,24.382535024
2,119.5,-2.184580762,16.813676886,0.1363852755,13.715503044,14.007995218,14.500028834,15.461730832,16.813676886,18.632128591,19.91061278,20.954836899,22.88510501,24.492994793
