Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97,Pub3,Pub5,Pub10,Pub25,Pub50,Pub75,Pub90,Pub95,Pub97,Diff3,Diff5,Diff10
1,19.5,0.3133018086,83.339380627,0.0396442379,77.2830000089799,78.0255958397382,79.1786261007151,81.1313057809738,83.339380627,85.5883747924065,87.6478588148759,88.8965168737897,89.7139327257165,77.341124497,78.076602516,79.218564012,81.152503741,83.339380627,85.566783963,87.606503035,88.843174377,89.652755367,-0.0581244880200558,-0.0510066762618209,-0.0399379112849374
1,20.5,0.4584554707,84.247833944,0.0397951891,78.0697142878296,78.8307666113033,80.0104805083643,82.0029210701211,84.247833944,86.5256171998123,88.6038524153657,89.8603817616653,90.6815343572731,78.128367553,78.882203948,80.050715044,82.02424031,84.247833944,86.50398577,88.562491202,89.80708833,90.620455237,-0.0586532651703635,-0.0514373366967362,-0.040234535635733
1,21.5,0.6005446308,85.132696575,0.0399463877,78.8330817172154,79.612708816061,80.8191869414724,82.8512937059361,85.132696575,87.4387868475588,89.5353326608376,90.7995090121291,91.6242812892597,78.892266603,79.664578614,80.859718859,82.872734318,85.132696575,87.417114201,89.49396332,90.7462596,91.563293261,-0.0591848857846031,-0.0518697979389628,-0.0405319175275736
1,22.5,0.7394389526,85.995648803,0.0400971806,79.5748455580292,80.3731528544819,81.6064574952835,83.6781129605404,85.995648803,88.3295747071967,90.4440154924459,91.7156346758992,92.5439238858898,79.634563457,80.425455684,81.647286648,83.699674611,85.995648803,88.307860553,90.402635913,91.66242499,92.483020684,-0.0597178989707743,-0.0523028295180978,-0.0408291527165403
1,23.5,0.8750004465,86.838175097,0.0402470597,80.2965565913491,81.1136348241789,82.3738080633518,84.484870913977,86.838175097,89.1994789390605,91.3314274071703,92.6103075004739,93.4420266333203,80.356807654,81.166370223,82.414933565,84.506552944,86.838175097,89.177723196,91.290035832,92.557133693,93.381202511,-0.0602510626508774,-0.052735398821099,-0.041125501648196
1,24.5,1.0072080698,87.661609339,0.0403956257,80.9995872983678,81.835518175749,83.1225894944865,85.2729040435318,87.661609339,90.0498454931164,92.1989349712012,93.4849087336022,94.3199804224951,81.060370738,81.888684893,83.164009889,85.294705532,87.661609339,90.028048287,92.157530036,93.431767493,94.259230286,-0.0607834396322033,-0.0531667172509742,-0.0414203945135085
1,25.5,0.8372513507,88.452472817,0.0405775247,81.7446395330885,82.581353443818,83.8724497800876,86.0370290207216,88.452472817,90.8787005572373,93.0714335250574,94.3877452248001,95.244192989933,81.805293702,82.634452016,83.913870639,86.05887745,88.452472817,90.856754574,93.029660544,94.334066476,95.182780471,-0.0606541689115261,-0.053098572182023,-0.0414208589124172
1,26.5,0.681492975,89.223264339,0.0407231216,82.4736527307001,83.3110528286648,84.6057624632736,86.7832934580158,89.223264339,91.6846760256571,93.9181746482636,95.2630007597693,96.1396161063495,82.534157399,83.364061119,84.647161512,86.805173098,89.223264339,91.662604103,93.876081628,95.208849143,96.077617111,-0.0605046682998562,-0.053008290335157,-0.0413990487264329
1,27.5,0.5387796541,89.975492278,0.0408331942,83.188122057027,84.0260900564991,85.3239891157348,87.5131740027243,89.975492278,92.4692889214632,94.7406366331136,96.1121011988834,97.0076278952572,83.248456481,84.078985824,85.365344331,87.53506945,89.975492278,92.447113533,94.698271135,96.05754106,96.945118229,-0.0603344239730461,-0.0528957675009138,-0.041355215265213
1,28.5,0.4076971531,90.710408526,0.0409090589,83.8893068413842,84.7276916167264,86.0283299569244,88.227875866497,90.710408526,93.2338474937995,95.5401622624724,96.9363947623564,97.8495720091331,83.949449817,84.78045262,86.069619739,88.249772228,90.710408526,93.211590294,95.497570268,96.881488483,97.786625314,-0.0601429756157899,-0.0527610032736021,-0.041289782075566
1,29.5,0.2867624533,91.429077621,0.0409524329,84.5782638893427,85.4168802715866,86.7197799432531,88.9284011706542,91.429077621,93.9795084259939,96.3179956489321,97.7371728943947,98.6667667910477,84.638193988,85.469484486,86.760983309,88.950284206,91.429077621,93.957189953,96.275220829,97.681979812,98.603453199,-0.0599300986573326,-0.0526042144134351,-0.0412033657468811
1,30.5,0.1744894848,92.132423789,0.0409653301,85.2558869161821,86.0945174468316,87.3991747668398,89.6155978698257,92.132423789,94.7073165354158,97.0753111049134,98.5156910420506,99.460520266677,85.31558277,86.146943303,87.440271536,89.637454109,92.132423789,94.684955989,97.032394265,98.460266625,99.396905375,-0.0596958538178711,-0.0524258561683553,-0.0410967691601911
1,31.5,0.0694445205,92.821271673,0.0409499758,85.9229395984847,86.7613389249827,88.0672298826861,90.2902017684162,92.821271673,95.4182388451418,97.8132366010555,99.2731837770055,100.232139112685,85.982380191,86.813565542,88.108200848,90.3120186,92.821271673,95.395853944,97.770215328,99.217579096,100.16828331,-0.0594405925153296,-0.0522266170173111,-0.0409709653139316
1,32.5,-0.029720564,93.496379457,0.0409087367,86.5800851110585,87.4179858742151,88.7245734534635,90.9528710722229,93.496379457,96.1131921689973,98.5328725420431,100.010876547669,100.982935160837,86.639250105,87.469993322,88.765400554,90.974636825,93.496379457,96.090799057,98.489780967,99.955137918,100.91889317,-0.0591649939415078,-0.0520074477848453,-0.0408271005364753
1,33.5,-0.124251789,94.158465459,0.0408440616,87.2279127412898,88.0650320338,89.3717742721354,91.6042146714144,94.158465459,96.7930650441201,99.2353065322745,100.729994719356,101.714230134913,87.286782763,88.116801546,89.412440734,91.625918666,94.158465459,96.770678236,99.192175213,100.67416352,101.65005078,-0.0588700217102485,-0.051769512200039,-0.0406664618646033
