"1931","018817","001"
"1932","018817","002"
"1933","019152","001"
"1934","019152","003"
"1935","019152","002"
"1939","018655","001"
"1940","018655","002"
"1941","017447","001"
"1942","017447","002"
"1943","019507","001"
"1944","019507","002"
"1950","019847","001"
"1951","019847","001"
"1953","018869","001"
"1959","018869","001"
"1990","017090","001"
"1991","017090","002"
"1992","017851","001"
"1994","087844","001"
"1995","017851","003"
"1996","018303","001"
"1998","017090","004"
"2000","017090","003"
"2002","017963","001"
"2004","018303","002"
"2008","017963","002"
"2009","017849","001"
"2010","018303","003"
"2011","017849","002"
"2012","019500","002"
"2016","087846","001"
"2017","087845","001"
"2020","018704","001"
"2050","062216","004"
"2052","062226","002"
"2061","062226","005"
"2063","050597","002"
"2064","050564","001"
"2065","050564","002"
"2066","050575","001"
"2067","050575","002"
"2085","062691","001"
"2087","062691","001"
"2157","016199","001"
"2159","019618","001"
"2198","Other","000"
"2199","Other","000"
"2200","Other","000"
"2201","019516","003"
"2202","019516","001"
"2203","019516","002"
"2204","019516","004"
"2205","Other","000"
"2206","Other","000"
"2207","Other","000"
"2208","Other","000"
"2209","Other","000"
"2210","Other","000"
"2218","087571","001"
"2222","085380","001"
"2224","000793","004"
"2225","000793","003"
"2227","084978","001"
"2228","017364","001"
"2229","012708","005"
"2230","086589","001"
"2235","Other","000"
"2236","084566","001"
"2237","Other","000"
"2239","Other","000"
"2240","Other","000"
"2241","Other","000"
"2244","Other","000"
"2245","Other","000"
"2247","084566","002"
"2249","009698","002"
"2250","009698","004"
"2254","011792","001"
"2255","012365","005"
"2256","012366","002"
"2256","040283","001"
"2258","012179","001"
"2259","012770","001"
"2263","019854","001"
"2268","018708","001"
"2290","050547","001"
"2291","050547","002"
"2291","062659","001"
"2292","050547","003"
"2293","050547","004"
"2294","062659","001"
"2295","062659","002"
"2300","017532","002"
"2301","017532","003"
"2305","016273","001"
"2310","016273","003"
"2311","016273","002"
"2313","018631","001"
"2314","019901","001"
"2315","019901","002"
"2316","019901","003"
"2317","019901","004"
"2322","Other","000"
"2329","Other","000"
"2330","Other","000"
"2334","Other","000"
"2338","012003","001"
"2339","Other","000"
"2340","Other","000"
"2341","088058","001"
"2342","089736","001"
"2343","Other","000"
"2344","Other","000"
"2345","Other","000"
"2346","019034","001"
"2348","Other","000"
"2350","Other","000"
"2351","Other","000"
"2352","Other","000"
"2353","Other","000"
"2354","Other","000"
"2355","018485","001"
"2356","018593","003"
"2357","018593","001"
"2358","018593","002"
"2359","019152","002"
"2360","019152","001"
"2361","019152","003"
"2362","Other","000"
"2363","019151","001"
"2364","019151","002"
"2366","Other","000"
"2374","018701","001"
"2375","018701","001"
"2376","015923","001"
"2378","011529","002"
"2379","Other","000"
"2380","Other","000"
"2381","Other","000"
"2384","018084","001"
"2385","018084","001"
"2388","085055","003"
"2389","085055","004"
"2390","088790","001"
"2413","018553","004"
"2414","018553","002"
"2415","018553","003"
"2416","018553","001"
"2424","010402","001"
"2424","Other","000"
"2437","020216","001"
"2454","Other","000"
"2629","Other","000"
"2630","Other","000"
"2631","Other","000"
"2632","Other","000"
"2633","Other","000"
"2634","Other","000"
"2635","Other","000"
"2636","Other","000"
"2637","Other","000"
"2638","Other","000"
"2639","Other","000"
"2647","050608","002"
"2648","050608","001"
"2649","Other","000"
"2650","050608","001"
"2651","062901","001"
"2652","060014","001"
"2653","050520","001"
"2654","060716","001"
"2655","060657","002"
"2656","060657","003"
"2659","060567","UNK"
"2662","061015","001"
"2664","060568","UNK"
"2667","050551","UNK"
"2668","050551","UNK"
"2670","050551","UNK"
"2671","050613","UNK"
"2672","050613","UNK"
"2673","050613","UNK"
"2674","050435","001"
"2678","019950","004"
"2678","019950","UNK"
"2679","019950","004"
"2680","019949","001"
"2681","019949","002"
"2682","019949","003"
"2683","019950","UNK"
"2684","019950","002"
"2685","017783","001"
"2685","020329","002"
"2686","017783","002"
"2687","019839","001"
"2688","019839","002"
"2690","011111","002"
"2691","010485","001"
"2693","010392","004"
"2694","010392","006"
"2697","016584","002"
"2698","016584","003"
"2699","016584","004"
"2703","Other","000"
"2705","018651","001"
"2706","018651","002"
"2708","017692","001"
"2708","Other","000"
"2710","Other","000"
"2712","Other","000"
"2714","018776","002"
"2721","018312","001"
"2727","013132","001"
"2728","013132","002"
"2729","013132","003"
"2730","016750","001"
"2750","Other","000"
"2751","Other","000"
"2752","Other","000"
"2753","Other","000"
"2756","017812","002"
"2757","017812","001"
"2758","017812","003"
"2765","040219","001"
"2772","Other","000"
"2776","088252","001"
"2777","088248","001"
"2778","071415","001"
"2779","070928","001"
"2781","087708","001"
"2782","070434","001"
"2783","070433","001"
"2785","088587","001"
"2791","088802","001"
"2792","088803","001"
"2793","018421","001"
"2794","072755","001"
"2795","088744","001"
"2796","089897","001"
"2797","087393","001"
"2798","087997","001"
"2800","Other","000"
"2801","Other","000"
"2802","089351","001"
"2806","088810","001"
"2807","088703","001"
"2808","070979","001"
"2810","070690","001"
"2811","Other","000"
"2816","088941","001"
"2826","Other","000"
"2827","Other","000"
"2828","084611","001"
"2829","084613","001"
"2830","088306","001"
"2831","084610","001"
"2832","087916","001"
"2833","084612","001"
"2834","088316","001"
"2842","018823","001"
"2843","018823","002"
"2844","070086","001"
"2854","018558","001"
"2855","088108","001"
"2856","088109","001"
"2859","40110","002"
"2860","040110","002"
"2862","087003","001"
"2864","Other","000"
"2865","080927","002"
"2866","080352","001"
"2872","087800","001"
"2873","087801","001"
"2874","Other","000"
"2881","089775","UNK"
"2882","019977","002"
"2883","019977","003"
"2886","019977","001"
"2887","086366","UNK"
