"189889","135","OTHER"
"189892","135","OTHER"
"189895","135","OTHER"
"189897","135","OTHER"
"189900","135","OTHER"
"189901","135","OTHER"
"189909","135","OTHER"
"189913","135","OTHER"
"189914","135","OTHER"
"189917","135","OTHER"
"189918","135","OTHER"
"189919","135","OTHER"
"189920","135","OTHER"
"189921","135","OTHER"
"189922","135","OTHER"
"189923","135","OTHER"
"189924","135","OTHER"
"189925","135","OTHER"
"189926","135","OTHER"
"189929","135","OTHER"
"189942","135","OTHER"
"189945","135","OTHER"
"189946","135","OTHER"
"189947","135","OTHER"
"189980","135","OTHER"
"189981","135","OTHER"
"189982","135","OTHER"
"189985","135","OTHER"
"190152","135","OTHER"
"190154","135","OTHER"
"190155","135","OTHER"
"190161","135","OTHER"
"190172","135","OTHER"
"190178","135","OTHER"
"190179","135","OTHER"
"190180","135","OTHER"
"190181","135","OTHER"
"190182","135","OTHER"
"190183","135","OTHER"
"190184","135","OTHER"
"190185","135","OTHER"
"190186","135","OTHER"
"190187","135","OTHER"
"190188","135","OTHER"
"190275","135","OTHER"
"190277","135","OTHER"
"190278","135","OTHER"
"190279","135","OTHER"
"190281","135","OTHER"
"190285","135","OTHER"
"190300","135","OTHER"
"190313","135","OTHER"
"190329","135","OTHER"
"190318","135","OTHER"
"190320","135","OTHER"
"190321","135","OTHER"
"190322","135","OTHER"
"190323","135","OTHER"
"190326","135","OTHER"
"190327","135","OTHER"
"190330","135","OTHER"
"190331","135","OTHER"
"190332","135","OTHER"
"190363","135","OTHER"
"190367","135","OTHER"
"190368","135","OTHER"
"190369","135","OTHER"
"190374","135","OTHER"
"190375","135","OTHER"
"190376","135","OTHER"
"190380","135","OTHER"
"190382","135","OTHER"
"190379","135","OTHER"
"190386","135","OTHER"
"190387","135","OTHER"
"190390","135","OTHER"
"190391","135","OTHER"
"190393","135","OTHER"
"190396","135","OTHER"
"190403","135","OTHER"
"190414","135","OTHER"
"190417","135","OTHER"
"190419","135","OTHER"
"190420","135","OTHER"
"190421","135","OTHER"
"190424","135","OTHER"
"190426","135","OTHER"
"190427","135","OTHER"
"190429","135","OTHER"
"190430","135","OTHER"
"190431","135","OTHER"
"190433","135","OTHER"
"190434","135","OTHER"
"190440","135","OTHER"
"190441","135","OTHER"
"190442","135","OTHER"
"190447","135","OTHER"
"190448","135","OTHER"
"190452","135","OTHER"
"190459","135","OTHER"
"190460","135","OTHER"
"190461","135","OTHER"
"190465","135","OTHER"
"190466","135","OTHER"
"190464","135","OTHER"
"190479","135","OTHER"
"190480","135","OTHER"
"190425","135","OTHER"
"190490","135","OTHER"
"190491","135","OTHER"
"190494","135","OTHER"
"190509","135","OTHER"
"190531","135","OTHER"
"190533","135","OTHER"
"190760","135","OTHER"
"190765","135","OTHER"
"190774","135","OTHER"
"190775","135","OTHER"
"190783","135","OTHER"
"190788","135","OTHER"
"190795","135","OTHER"
"190796","135","OTHER"
"190797","135","OTHER"
"190798","135","OTHER"
"190799","135","OTHER"
"190791","135","OTHER"
"190829","135","OTHER"
"190831","135","OTHER"
"190836","135","OTHER"
"190838","135","OTHER"
"190839","135","OTHER"
"190840","135","OTHER"
"190841","135","OTHER"
"190842","135","OTHER"
"190843","135","OTHER"
"190844","135","OTHER"
"190847","135","OTHER"
"190850","135","OTHER"
"190851","135","OTHER"
"190857","135","OTHER"
"190881","135","OTHER"
"190883","135","OTHER"
"190885","135","OTHER"
"190886","135","OTHER"
"190887","135","OTHER"
"190888","135","OTHER"
"190889","135","OTHER"
"190902","135","OTHER"
"190904","135","OTHER"
"190908","135","OTHER"
"190923","135","OTHER"
"190927","135","OTHER"
"190928","135","OTHER"
"190929","135","OTHER"
"190930","135","OTHER"
"190935","135","OTHER"
"189641","135","OTHER"
"190938","135","OTHER"
"190939","135","OTHER"
"189651","135","OTHER"
"190940","135","OTHER"
"190942","135","OTHER"
"190944","135","OTHER"
"190945","135","OTHER"
"190961","135","OTHER"
"191204","135","OTHER"
"191214","135","OTHER"
"191215","135","OTHER"
"191216","135","OTHER"
"191217","135","OTHER"
"191218","135","OTHER"
"191219","135","OTHER"
"191220","135","OTHER"
"191221","135","OTHER"
"191244","135","OTHER"
"191245","135","OTHER"
"191251","135","OTHER"
"191254","135","OTHER"
"191262","135","OTHER"
"191265","135","OTHER"
"191266","135","OTHER"
"191268","135","OTHER"
"191269","135","OTHER"
"191274","135","OTHER"
"191276","135","OTHER"
"191277","135","OTHER"
"191302","135","OTHER"
"191305","135","OTHER"
"191320","135","OTHER"
"191308","135","OTHER"
"191309","135","OTHER"
"191310","135","OTHER"
"191311","135","OTHER"
"191312","135","OTHER"
"191323","135","OTHER"
"191328","135","OTHER"
"191325","135","OTHER"
"191326","135","OTHER"
"191329","135","OTHER"
"191330","135","OTHER"
"191331","135","OTHER"
"191327","135","OTHER"
"191334","135","OTHER"
"191335","135","OTHER"
"191336","135","OTHER"
"191349","135","OTHER"
"191351","135","OTHER"
"191352","135","OTHER"
"191353","135","OTHER"
"191355","135","OTHER"
"191362","135","OTHER"
"191373","135","OTHER"
"191372","135","OTHER"
"191374","135","OTHER"
"191376","135","OTHER"
"191377","135","OTHER"
"191378","135","OTHER"
"191380","135","OTHER"
"191381","135","OTHER"
"191382","135","OTHER"
"191383","135","OTHER"
"191384","135","OTHER"
"191385","135","OTHER"
